,developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
2270,6016634001,Бекон,"Ставропольский край, р-н Благодарненский, 356407, с. Елизаветинское, ул. Ленина, д. 1а",1,Итого,2017-04-19,2019-03-15,6624,114,1,0.004862475338206301,100.0,2214
2271,6016634001,Бекон,"Ставропольский край, р-н Благодарненский, 356407, с. Елизаветинское, ул. Ленина, д. 1а",1438,Ставропольский край,2017-04-19,2019-03-15,6624,114,1,0.39708207022190195,100.0,38
2272,6810418001,Стеклоавтоматика строй,"Нижегородская область, 606443, г. Бор, ул. В. Котика, д. 8",1,Итого,2019-02-25,2019-02-25,6627,45,1,0.004864677546239909,0.0,2213
2273,6810418001,Стеклоавтоматика строй,"Нижегородская область, 606443, г. Бор, ул. В. Котика, д. 8",1209,Нижегородская область,2019-02-25,2019-02-25,6627,45,1,0.4633756993113344,0.0,43
2274,6638941001,Эвент-Строй,"Республика Башкортостан, р-н Учалинский, 453700, г. Учалы, ул. Ленина, д. 46, оф. 69",1,Итого,2017-07-26,2019-03-18,6682,120,1,0.0049050513601893875,100.0,2208
2275,6638941001,Эвент-Строй,"Республика Башкортостан, р-н Учалинский, 453700, г. Учалы, ул. Ленина, д. 46, оф. 69",1213,Республика Башкортостан,2017-07-26,2019-03-18,6682,120,1,0.15144005165551716,100.0,68
2276,4050536001,Группа компаний Диоген,"Омская область, 644119, г. Омск, б-р Зеленый, д. 11",1,Итого,2019-04-02,2019-04-02,6687,106,1,0.0049087217069120675,100.0,2206
2277,4050536001,Группа компаний Диоген,"Омская область, 644119, г. Омск, б-р Зеленый, д. 11",1546,Омская область,2019-04-02,2019-04-02,6687,106,1,1.2602737660643915,100.0,23
2278,7155894001,Строительная компания Европейский стиль,"Ивановская область, г. Иваново, пер. 2-й Минский, д. 8, оф. 3",1,Итого,2019-03-20,2019-03-20,6687,97,3,0.0049087217069120675,0.0,2205
2279,7155894001,Строительная компания Европейский стиль,"Ивановская область, г. Иваново, пер. 2-й Минский, д. 8, оф. 3",1763,Ивановская область,2019-03-20,2019-03-20,6687,97,3,1.364833146239412,0.0,21
