developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
7403742001,Орбита,"Московская область, р-н Раменский, 140105, г. Раменское, ш. Северное, д. 14, оф. ПОМЕЩЕНИЕ V",1768,Московская область,2019-03-14,2019-03-14,148512.0,3575,13,0.9046807873997712,100.0,15
1153755001,Группа компаний Новард,"г.Москва, 127055, г. Москва, пер. Институтский, д. 16",1,Итого,2019-02-12,2019-03-18,147379.0,2869,16,0.10818640592836752,0.0,165
1153755001,Группа компаний Новард,"г.Москва, 127055, г. Москва, пер. Институтский, д. 16",1768,Московская область,2019-02-12,2019-03-18,127657.0,2575,15,0.7776397548823839,0.0,21
1153755001,Группа компаний Новард,"г.Москва, 127055, г. Москва, пер. Институтский, д. 16",1762,г. Москва,2019-02-12,2019-03-18,19722.0,294,1,0.10563359347520544,0.0,93
1458749001,Тройка Рэд,"Московская область, р-н Люберецкий, 140011, г. Люберцы, ш. Новорязанское, д. 7",1,Итого,2018-03-26,2019-03-27,146551.0,3302,15,0.10757859651109172,15.706477608477595,166
1458749001,Тройка Рэд,"Московская область, р-н Люберецкий, 140011, г. Люберцы, ш. Новорязанское, д. 7",1768,Московская область,2018-03-26,2019-03-27,130863.0,3041,14,0.7971695343238006,17.58938737458258,19
1458749001,Тройка Рэд,"Московская область, р-н Люберецкий, 140011, г. Люберцы, ш. Новорязанское, д. 7",1762,г. Москва,2018-03-26,2019-03-27,15688.0,261,1,0.08402696554299882,0.0,103
2948765001,Группа компаний Надежда,"Брянская область, 241035, г. Брянск, ул. Бежицкая, д. 1, корп. 11",1,Итого,2017-04-18,2019-03-21,146493.0,1420,15,0.10753602048910864,70.64433112844979,167
2948765001,Группа компаний Надежда,"Брянская область, 241035, г. Брянск, ул. Бежицкая, д. 1, корп. 11",1759,Брянская область,2017-04-18,2019-03-21,146493.0,1420,15,11.85815191787453,70.64433112844979,2
8721389001,УК ЮГ,"г.Москва, 119331, город Москва, пр-кт Вернадского, д. 29, оф. помещение I, ком 7",1,Итого,2019-03-18,2019-03-18,145764.0,3456,24,0.10700088393694193,0.0,168
8721389001,УК ЮГ,"г.Москва, 119331, город Москва, пр-кт Вернадского, д. 29, оф. помещение I, ком 7",1879,Краснодарский край,2019-03-18,2019-03-18,145764.0,3456,24,1.672011043963071,0.0,12
9899175001,Транспортно-пересадочный узел Рассказовка,"г.Москва, 101000, г. Москва, пер. Девяткин, д. 5, стр. 3, оф. комн. Г-111",1,Итого,2019-02-26,2019-03-22,144817.0,2660,3,0.10630572026766637,0.0,169
9899175001,Транспортно-пересадочный узел Рассказовка,"г.Москва, 101000, г. Москва, пер. Девяткин, д. 5, стр. 3, оф. комн. Г-111",1762,г. Москва,2019-02-26,2019-03-22,144817.0,2660,3,0.7756586606986525,0.0,36
4295912001,Группа компаний В2В-Development,"г.Москва, 109518, г. Москва, пр-д 1-й Грайвороновский, д. 3",1,Итого,2019-02-12,2019-02-26,143200.0,2223,6,0.10511873013755167,0.0,170
4295912001,Группа компаний В2В-Development,"г.Москва, 109518, г. Москва, пр-д 1-й Грайвороновский, д. 3",1545,Новосибирская область,2019-02-12,2019-02-26,143200.0,2223,6,3.912069143090213,0.0,5
